alim_nom_fr,Energie (kcal/100g),Eau (g/100g),Protéines (g/100g),Glucides (g/100g),Sucres (g/100g),Cendres (g/100g),Alcool (g/100g),Sel chlorure de sodium (g/100g)
Vin doux,150,"73,1","0,12","10,5","7,78","0,99","15,3","0,027"
Pétillant de fruits,"65,6","87,6",0,"6,94","6,94","0,052","5,41","0,0075"
Vin blanc 11°,"77,7","87,5","0,07","2,58","1,68","0,21","9,59","0,0042"
Vin blanc mousseux,"75,3","88,4","0,1","1,4","1,4","0,2","9,9","0,0035"
Vin rouge 11°,"77,7","88,1","0,075","1,03","0,62","0,28","10,5","0,0025"
Vin rouge 12°,"76,5","88,1","0,085","1,58","0,62","0,29","9,98","0,003"
Champagne,"81,7","86,8","0,3","2,81","1,4","0,19","9,9","0,0048"
Vin rouge 13°,"73,3","89,1","0,1","0,2","0,15","0,3","10,3","0,0078"
Vin (aliment moyen),"79,5","86,7","0,13","2,18","1,36","0,32",10,"0,007"
Bière brune,"40,7","92,7","0,48","4,1","4,1","0,1","3,19","0,029"
"Bière ""coeur de marché"" (4-5° alcool)","37,3","92,7","0,39","2,7",0,"0,17","3,57","0,0047"
Bière forte (>8° alcool),"62,5","88,8","0,51","4,6",-,"0,2",6,"0,017"
Cidre brut,-,"93,9",0,"2,62","2,22","0,29","3,72","0,01"
Cidre doux,"37,5","91,9","< 0,5","5,09","4,61","0,24","1,91","0,0098"
Bière faiblement alcoolisée (3° alcool),"35,5","93,6","0,31","4,62","0,09","0,16","2,23","0,0048"
"Bière ""spéciale"" (5-6° alcool)","56,3","90,8","0,48","4,55",4,"0,23","5,13","0,0048"
Cidre traditionnel,-,"94,2",0,"1,87","1,58","0,29","3,64","0,013"
Cidre bouché demi-sec,"35,1","93,9","< 0,5","0,96","0,81","0,28","3,71","0,007"
"Bière sans alcool (<1,2° alcool)","25,3",94,"0,31","4,89","2,55","0,14","0,62","0,0038"
Pastis,274,"59,6",0,"2,91",0,"0,002","37,5",0
Eau de vie,228,"66,3",0,"2,79",0,"0,0091","30,9","0,0025"
Gin,265,"62,1",0,0,0,"0,0052","37,9","0,005"
Liqueur,328,"35,6","0,1","39,6","35,3","0,6","23,8","0,018"
Rhum,248,"64,5",0,"0,031",0,"0,0092","35,5","0,0025"
Whisky,249,"63,7",0,"1,57","0,1","0,0041","34,7",0
Apéritif à base de vin ou vermouth,137,"75,3","0,013","11,4","11,1","0,19","13,1","0,038"
Vodka,237,"65,9",0,"0,69",0,"0,01","33,4","0,0025"
Apéritif anisé sans alcool,6,-,0,1,"0,03","0,044",0,"0,038"
Cocktail à base de rhum,180,65,0,"22,5","22,3","0,14","9,9","0,015"
Cocktail à base de whisky,166,"69,2",0,"15,9","15,8","0,27","14,6","0,12"
Marsala,211,"57,7","0,1","27,9","27,9","0,12","14,2","0,01"
Sangria,"81,4","83,4","0,39","9,59","9,03","0,33","5,63","0,0072"
Kir (au vin blanc),111,"79,9","0,056","9,46","7,8","0,21","10,4","0,0039"
Kir royal (au champagne),111,"79,7",0,"9,88","8,51","0,21","10,2","0,0039"
Crème de cassis,251,46,0,"41,4",41,"0,32","12,3","0,005"
"Cocktail type punch, 16% alcool",162,-,"0,6","17,8","17,8","0,11","12,1","0,042"
Saké ou Alcool de riz,133,"78,4",0,5,0,"0,047","16,1","0,005"
Cocktail sans alcool (à base de jus de fruits et de sirop),"52,5","86,4","0,46","12,5",11,"0,29","0,0034","0,0066"
Panaché (limonade et bière),"34,8","92,5","0,19","5,17","4,5","0,24","1,91","0,0052"
Panaché préemballé (<1° alc.),"25,4",94,"0,48","4,93","4,92","0,07","0,5","0,0034"
